striker,total_matches,total_runs_x,balls_faced,not_outs_as_striker,not_outs_as_non_striker,total_not_outs,total_runs_y,dismissed,average,strike_rate,centuries,half_centuries,thirties,0s,1s,2s,3s,4s,6s
Abul Hasan,25.0,160.0,176.0,2.0,8.0,10.0,160.0,15.0,10.67,90.91,0.0,0.0,1.0,85.0,65.0,8.0,1.0,13.0,4.0
Adil Amin,1.0,7.0,9.0,0.0,0.0,0.0,7.0,1.0,7.0,77.78,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0
Adil Butt,6.0,130.0,96.0,0.0,1.0,1.0,130.0,5.0,26.0,135.42,0.0,1.0,1.0,42.0,27.0,5.0,1.0,18.0,3.0
Aditya Panwar,1.0,62.0,50.0,0.0,0.0,0.0,62.0,1.0,62.0,124.0,0.0,1.0,0.0,24.0,12.0,7.0,0.0,3.0,4.0
Adnan Idrees,19.0,310.0,229.0,0.0,0.0,0.0,310.0,19.0,16.32,135.37,0.0,1.0,3.0,118.0,46.0,12.0,0.0,39.0,14.0
Adnan Ilyas,10.0,224.0,190.0,0.0,0.0,0.0,224.0,10.0,22.4,117.89,0.0,1.0,2.0,72.0,73.0,22.0,1.0,14.0,8.0
Adnan Mirza,4.0,68.0,58.0,0.0,0.0,0.0,68.0,4.0,17.0,117.24,0.0,0.0,1.0,30.0,14.0,2.0,0.0,11.0,1.0
Adnan Mufti,1.0,7.0,7.0,1.0,0.0,1.0,7.0,0.0,0.0,100.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0
Adnan Razzaq,2.0,6.0,2.0,1.0,1.0,2.0,6.0,0.0,0.0,300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Afif Hossain,119.0,2413.0,2043.0,1.0,12.0,13.0,2413.0,106.0,22.76,118.11,0.0,7.0,23.0,852.0,743.0,140.0,8.0,217.0,83.0
Afsar Zazai,9.0,147.0,196.0,0.0,0.0,0.0,147.0,9.0,16.33,75.0,0.0,0.0,1.0,98.0,79.0,7.0,0.0,9.0,3.0
Aftab Ahmed,14.0,219.0,195.0,0.0,2.0,2.0,219.0,12.0,18.25,112.31,0.0,1.0,2.0,82.0,74.0,10.0,1.0,23.0,5.0
Aftab Alam,6.0,4.0,12.0,1.0,2.0,3.0,4.0,3.0,1.33,33.33,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
Aftab Hussain,3.0,7.0,5.0,1.0,2.0,3.0,7.0,0.0,0.0,140.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
Aftab Kayani,3.0,32.0,33.0,0.0,0.0,0.0,32.0,3.0,10.67,96.97,0.0,0.0,0.0,16.0,8.0,6.0,0.0,3.0,0.0
Agha Salman,14.0,219.0,222.0,0.0,0.0,0.0,219.0,14.0,15.64,98.65,0.0,1.0,1.0,99.0,86.0,12.0,1.0,19.0,5.0
Ahmad Khalid Ahmadzai,3.0,2.0,11.0,0.0,0.0,0.0,2.0,3.0,0.67,18.18,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0
Ahmad Ramdoni,5.0,26.0,42.0,1.0,2.0,3.0,26.0,2.0,13.0,61.9,0.0,0.0,0.0,27.0,10.0,3.0,0.0,1.0,1.0
Ahmadi Ravat,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ahmadullah Shinwari,5.0,13.0,19.0,0.0,0.0,0.0,13.0,5.0,2.6,68.42,0.0,0.0,0.0,9.0,7.0,3.0,0.0,0.0,0.0
Ahmed Baladraf,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
