bowler,matches,balls,runs_conceded,wickets,economy,average,strike_rate
Gurpratap Singh,10,220,235,19,6.41,12.368421052631579,11.578947368421053
Gurpreet Singh,2,28,27,0,5.79,,
H Bharadwaj,1,18,20,0,6.67,,
H Carlyon,17,248,223,15,5.4,14.866666666666667,16.533333333333335
H Coetzer,4,45,64,5,8.53,12.8,9.0
H Dandapani,2,34,49,2,8.65,24.5,17.0
H Davids,34,362,484,10,8.02,48.4,36.2
H Fennell,12,270,293,19,6.51,15.421052631578947,14.210526315789474
H Gori,1,13,22,1,10.15,22.0,13.0
H Hiri,3,24,13,3,3.25,4.333333333333333,8.0
H Ivanov,1,13,11,0,5.08,,
H Kerr,47,897,1246,58,8.33,21.482758620689655,15.46551724137931
H Klaasen,5,42,68,1,9.71,68.0,42.0
H Klazinge,2,39,52,4,8.0,13.0,9.75
H Lakov,22,539,667,27,7.42,24.703703703703702,19.962962962962962
H Lin Aung,4,99,110,5,6.67,22.0,19.8
H Lin Oo,3,38,57,2,9.0,28.5,19.0
H Masakadza,8,62,98,2,9.48,49.0,31.0
H Osinde,5,97,141,6,8.72,23.5,16.166666666666668
H Patel,5,71,92,2,7.77,46.0,35.5
H Rashid,4,81,112,3,8.3,37.333333333333336,27.0
H Rathod,7,150,153,16,6.12,9.5625,9.375
H Sharma,1,18,33,0,11.0,,
H Singh,1,6,16,0,16.0,,
H Ssenyondo,52,1082,1029,65,5.71,15.830769230769231,16.646153846153847
H Thaker,16,300,295,19,5.9,15.526315789473685,15.789473684210526
H Virdee,1,12,26,1,13.0,26.0,12.0
HA Chohan,16,319,323,17,6.08,19.0,18.764705882352942
HA Varaiya,15,280,309,14,6.62,22.071428571428573,20.0
HAM Shah,12,209,222,21,6.37,10.571428571428571,9.952380952380953
HB Shipley,32,602,816,35,8.13,23.314285714285713,17.2
HC Brook,2,13,26,1,12.0,26.0,13.0
HC Overdijk,1,13,11,1,5.08,11.0,13.0
HD Rutherford,6,68,81,2,7.15,40.5,34.0
HD Ward,2,14,16,1,6.86,16.0,14.0
HER Tyler,6,123,204,4,9.95,51.0,30.75
HF Gurney,107,2459,3238,152,7.9,21.30263157894737,16.17763157894737
HH Pandya,162,2757,3807,132,8.29,28.84090909090909,20.886363636363637
HJ Manenti,9,227,240,23,6.34,10.434782608695652,9.869565217391305
HJH Brookes,43,924,1364,54,8.86,25.25925925925926,17.11111111111111
HK Bennett,54,1182,1599,62,8.12,25.79032258064516,19.06451612903226
HL Harji,4,60,65,4,6.5,16.25,15.0
HM Crawshaw,3,30,47,0,9.4,,
HMCM Bandara,4,86,97,4,6.77,24.25,21.5
HMRKB Herath,17,369,375,21,6.1,17.857142857142858,17.571428571428573
HN Ya France,13,153,176,6,6.9,29.333333333333332,25.5
HNA Conway,23,502,697,22,8.33,31.681818181818183,22.818181818181817
HP Kingston,5,76,134,4,10.58,33.5,19.0
HR Cooper,1,12,14,2,7.0,7.0,6.0
HR Shokeen,13,213,320,5,9.01,64.0,42.6
HR Walsh,65,1225,1613,70,7.9,23.042857142857144,17.5
HS Baidwan,8,157,211,9,8.06,23.444444444444443,17.444444444444443
HT Crocombe,17,283,481,15,10.2,32.06666666666667,18.866666666666667
HT Tector,6,127,122,7,5.76,17.428571428571427,18.142857142857142
HTRY Thornton,17,371,523,30,8.46,17.433333333333334,12.366666666666667
HV Mandhyan,13,325,398,20,7.35,19.9,16.25
HV Patel,113,2494,3521,152,8.47,23.164473684210527,16.407894736842106
HW Podmore,24,452,676,25,8.97,27.04,18.08
HWR Cartwright,9,91,180,4,11.87,45.0,22.75
Habib Khan,8,167,150,11,5.39,13.636363636363637,15.181818181818182
Habibur Rahman,3,39,74,1,11.38,74.0,39.0
Haider Butt,8,72,92,5,7.67,18.4,14.4
Hamid Hassan,26,591,630,43,6.4,14.651162790697674,13.744186046511627
Hamid Mahmood,7,120,100,6,5.0,16.666666666666668,20.0
Hamidullah Qadri,1,7,12,0,10.29,,
Hammad Azam,5,57,100,1,10.53,100.0,57.0
Hamza Dar,1,14,17,0,7.29,,
Hamza Tahir,14,327,466,22,8.55,21.181818181818183,14.863636363636363
Harbhajan Singh,187,4122,4751,189,6.92,25.137566137566136,21.80952380952381
Haris Rauf,143,3328,4566,205,8.23,22.273170731707317,16.234146341463415
Harmeet Singh,27,549,713,30,7.79,23.766666666666666,18.3
Harmeet Singh (2),1,25,34,1,8.16,34.0,25.0
Haroon Arshad,29,446,616,24,8.29,25.666666666666668,18.583333333333332
Haroon Shahid,1,19,31,1,9.79,31.0,19.0
Harpreet Brar,26,462,598,18,7.77,33.22222222222222,25.666666666666668
Harprit Singh,1,13,11,1,5.08,11.0,13.0
Harshit Rana,8,139,205,7,8.85,29.285714285714285,19.857142857142858
Hasan Ali,144,3298,4398,211,8.0,20.843601895734597,15.630331753554502
Hasan Cakir,1,7,5,1,4.29,5.0,7.0
Hasan Mahmud,44,957,1279,49,8.02,26.102040816326532,19.53061224489796
Hasan Murad,6,119,142,7,7.16,20.285714285714285,17.0
Haseeb Amjad,17,361,439,31,7.3,14.161290322580646,11.64516129032258
Hashir Hussain,1,6,10,0,10.0,,
Hassan Khan,28,471,587,17,7.48,34.529411764705884,27.705882352941178
Hassan Khan Mohammad,2,23,43,0,11.22,,
Hassan Mehmood,4,78,101,6,7.77,16.833333333333332,13.0
Hayatullah Niazi,3,54,66,2,7.33,33.0,27.0
Hisham Sheikh,11,207,291,8,8.43,36.375,25.875
Hossain Ali,4,95,142,5,8.97,28.4,19.0
Hussain Talat,31,367,536,22,8.76,24.363636363636363,16.681818181818183
Huzaif Yousuf,2,34,40,3,7.06,13.333333333333334,11.333333333333334
Huzaifa Mohammed,10,222,295,7,7.97,42.142857142857146,31.714285714285715
Hwanhee Lee,1,6,6,2,6.0,3.0,3.0
I Asif,1,14,23,1,9.86,23.0,14.0
I Bardis,1,8,12,1,9.0,12.0,8.0
I Danladi,8,139,86,14,3.71,6.142857142857143,9.928571428571429
I Elec,7,117,127,6,6.51,21.166666666666668,19.5
I Kaia,2,12,9,0,4.5,,
I Kamara,6,91,79,8,5.21,9.875,11.375
I Katzarski,2,14,25,0,10.71,,
I Khan,7,91,102,8,6.73,12.75,11.375
I Khan (2),24,447,457,25,6.13,18.28,17.88
I Malhotra,1,6,23,0,23.0,,
I Manack,22,507,521,15,6.17,34.733333333333334,33.8
I Master,3,33,56,2,10.18,28.0,16.5
I Mugisha,3,42,70,2,10.0,35.0,21.0
I Ntirenganya,13,236,275,12,6.99,22.916666666666668,19.666666666666668
I Sharma,115,2537,3403,92,8.05,36.98913043478261,27.57608695652174
I Takahashi,11,176,172,10,5.86,17.2,17.6
I Tchakou,3,29,53,0,10.97,,
I Udana,82,1761,2390,100,8.14,23.9,17.61
I Wardlaw,4,105,147,10,8.4,14.7,10.5
IA Moran,3,43,68,2,9.49,34.0,21.5
IAA Thomas,12,226,330,10,8.76,33.0,22.6
IC Pandey,24,469,609,19,7.79,32.05263157894737,24.68421052631579
IC Porel,1,26,42,1,9.69,42.0,26.0
IDM Latin,9,154,239,12,9.31,19.916666666666668,12.833333333333334
IDR Bradshaw,1,25,25,0,6.0,,
IE O'Brien,4,78,119,6,9.15,19.833333333333332,13.0
IG Butler,23,458,626,35,8.2,17.885714285714286,13.085714285714285
IG Holland,18,323,353,14,6.56,25.214285714285715,23.071428571428573
IG McPeake,6,129,203,4,9.44,50.75,32.25
IGTR Kumara,1,12,17,0,8.5,,
IH Romaine,1,16,20,0,7.5,,
IK Gamantika,2,30,12,3,2.4,4.0,10.0
IK Pathan,124,2595,3339,128,7.72,26.0859375,20.2734375
IKEG Artawan,6,98,89,14,5.45,6.357142857142857,7.0
IKO Aboagye,4,84,84,6,6.0,14.0,14.0
IO Okpe,33,604,597,42,5.93,14.214285714285714,14.380952380952381
IP Swaney,2,18,41,2,13.67,20.5,9.0
IS Sodhi,199,4407,5747,252,7.82,22.805555555555557,17.488095238095237
IW Budiarta,1,13,26,0,12.0,,
Ibrahim Hassan,20,303,398,10,7.88,39.8,30.3
Ibrahim Jabarkhel,7,102,103,5,6.06,20.6,20.4
Ibrahim Nashath,4,60,76,2,7.6,38.0,30.0
Ibrahim Rizan,13,197,247,10,7.52,24.7,19.7
Ibrahim Zadran,1,12,32,0,16.0,,
Ibtisam Sheikh,8,145,179,10,7.41,17.9,14.5
Ifran Hossain,1,18,38,1,12.67,38.0,18.0
Iftekar Jaman,1,7,15,0,12.86,,
Iftikhar Ahmed,50,536,686,19,7.68,36.10526315789474,28.210526315789473
Iftikhar Anjum,2,48,69,2,8.62,34.5,24.0
Ihsanullah,18,416,500,32,7.21,15.625,13.0
Ijaz Hussain,22,423,490,31,6.95,15.806451612903226,13.64516129032258
Ikramullah Khan,7,144,163,11,6.79,14.818181818181818,13.090909090909092
Ilyas Ahmed,11,227,282,13,7.45,21.692307692307693,17.46153846153846
Ilyas Ataullah,5,77,109,3,8.49,36.333333333333336,25.666666666666668
Imad Wasim,231,4914,5407,239,6.6,22.623430962343097,20.560669456066947
Imran Ameer,15,310,374,11,7.24,34.0,28.181818181818183
Imran Anwar,33,605,755,35,7.49,21.571428571428573,17.285714285714285
Imran Arif,2,52,67,3,7.73,22.333333333333332,17.333333333333332
Imran Butt,2,49,72,3,8.82,24.0,16.333333333333332
Imran Haider,11,194,258,8,7.98,32.25,24.25
Imran Khalid,11,175,202,11,6.93,18.363636363636363,15.909090909090908
Imran Khan,26,574,720,36,7.53,20.0,15.944444444444445
Imran Khan (1),6,140,208,6,8.91,34.666666666666664,23.333333333333332
Imran Khan (2),3,64,101,4,9.47,25.25,16.0
Imran Khan (4),1,13,13,0,6.0,,
Imran Qayyum,41,841,1132,42,8.08,26.952380952380953,20.023809523809526
Imran Tahir,290,6685,7791,411,6.99,18.956204379562045,16.265206812652067
Imran Yousaf,3,57,92,3,9.68,30.666666666666668,19.0
Imran Yousuf,1,19,11,1,3.47,11.0,19.0
Inam-ul-Haq,3,60,82,2,8.2,41.0,30.0
Iqbal Abdulla,48,943,1125,45,7.16,25.0,20.955555555555556
Iqbal Hossain,2,31,31,3,6.0,10.333333333333334,10.333333333333334
Iqbal Hussain,8,189,201,24,6.38,8.375,7.875
Irfan Ahmed,8,169,192,11,6.82,17.454545454545453,15.363636363636363
Irfan Hafejee,7,159,184,11,6.94,16.727272727272727,14.454545454545455
Irfan Sarfraz,2,18,24,0,8.0,,
Irshad Mubbashar,2,12,22,1,11.0,22.0,12.0
Isa Zaroo,1,20,36,1,10.8,36.0,20.0
Ishtiaq Ahmad,10,245,269,16,6.59,16.8125,15.3125
Ismaila Tanba,4,57,75,4,7.89,18.75,14.25
Israr Khan,2,25,37,0,8.88,,
Itibarshah Deedar,4,85,109,3,7.69,36.333333333333336,28.333333333333332
Izatullah Dawlatzai,11,226,292,12,7.75,24.333333333333332,18.833333333333332
Izharulhaq Naveed,13,313,423,10,8.11,42.3,31.3
J Albin,11,186,305,6,9.84,50.833333333333336,31.0
J Allenby,35,523,712,15,8.17,47.46666666666667,34.86666666666667
J Baguma,10,210,229,18,6.54,12.722222222222221,11.666666666666666
J Baleicikoibia,1,6,19,0,19.0,,
J Banton,1,6,6,1,6.0,6.0,6.0
J Batinibulu,4,95,124,5,7.83,24.8,19.0
J Bishop,14,253,313,14,7.42,22.357142857142858,18.071428571428573
J Botha,151,2964,3407,121,6.9,28.15702479338843,24.49586776859504
J Broad,10,104,135,6,7.79,22.5,17.333333333333332
J Buchanan,3,39,44,2,6.77,22.0,19.5
J Bulele,12,252,281,16,6.69,17.5625,15.75
J Butler,12,219,246,20,6.74,12.3,10.95
J Charles,2,27,46,2,10.22,23.0,13.5
J Clark,75,1207,1769,63,8.79,28.07936507936508,19.158730158730158
J Coetzee,13,248,240,18,5.81,13.333333333333334,13.777777777777779
J Dawood,12,242,278,15,6.89,18.533333333333335,16.133333333333333
J Evans,3,79,96,6,7.29,16.0,13.166666666666666
J Fraser-McGurk,1,6,10,0,10.0,,
J Ghadiyali,4,60,56,4,5.6,14.0,15.0
J Giyanani,1,27,35,0,7.78,,
J Glen,5,60,59,7,5.9,8.428571428571429,8.571428571428571
J Grzinic,1,1,4,0,24.0,,
J Harrison,1,24,49,2,12.25,24.5,12.0
J Henry,4,47,64,2,8.17,32.0,23.5
J Hill,2,37,50,3,8.11,16.666666666666668,12.333333333333334
J Horrocks,9,149,221,8,8.9,27.625,18.625
J Hull,5,111,169,6,9.14,28.166666666666668,18.5
J Hurley,4,97,115,6,7.11,19.166666666666668,16.166666666666668
J Jagroo,4,57,75,1,7.89,75.0,57.0
J Jojo,10,204,208,9,6.12,23.11111111111111,22.666666666666668
J Kann,3,30,77,1,15.4,77.0,30.0
J Kariko,8,174,115,15,3.97,7.666666666666667,11.6
J Kila,9,108,99,3,5.5,33.0,36.0
J Landsberg,2,20,28,1,8.4,28.0,20.0
J Layne,2,19,36,0,11.37,,
J Leach,44,828,1252,52,9.07,24.076923076923077,15.923076923076923
J Lewis,3,66,92,5,8.36,18.4,13.2
J Little,69,1587,2030,82,7.67,24.75609756097561,19.353658536585368
J Long,1,13,26,1,12.0,26.0,13.0
J Louw,13,246,296,9,7.22,32.888888888888886,27.333333333333332
J Marples,1,6,14,0,14.0,,
J Matharu,5,83,125,4,9.04,31.25,20.75
J McAllister,1,8,7,1,5.25,7.0,8.0
